year,month,rank,net_worth, transformed worth ,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2024,4,11,110,"$110,000,000,000 ",Brin,Sergey,Sergey Brin,8/21/1973,50,Male,United States,United States,Los Altos,Technology,['Technology'],Alphabet,Cofounder and board member,TRUE,Increased
2024,4,12,106,"$106,000,000,000 ",Bloomberg,Michael,Michael Bloomberg,2/14/1942,82,Male,United States,United States,New York,Finance & Investments,['Finance & Investments'],Bloomberg,CEO,TRUE,Increased
2024,4,13,103,"$103,000,000,000 ",Ortega,Amancio,Amancio Ortega,3/28/1936,88,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,TRUE,Increased
2024,4,14,102,"$102,000,000,000 ",Slim Helu,Carlos,Carlos Slim Helu & family,1/28/1940,84,Male,Mexico,Mexico,Mexico City,Telecom,['Telecom'],América Móvil,Honorary Chairman,TRUE,Increased
2024,4,15,99.5,"$99,500,000,000 ",Bettencourt Meyers,Francoise,Francoise Bettencourt Meyers & family,7/10/1953,70,Female,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,FALSE,Increased
2024,4,16,91,"$91,000,000,000 ",Dell,Michael,Michael Dell,2/23/1965,59,Male,United States,United States,Austin,Technology,['Technology'],Dell,Chairman and CEO,TRUE,Increased
2024,4,17,84,"$84,000,000,000 ",Adani,Gautam,Gautam Adani,6/24/1962,61,Male,India,India,Ahmedabad,Diversified,['Diversified'],,,TRUE,Increased
2024,4,18,78.4,"$78,400,000,000 ",Walton,Jim,Jim Walton & family,6/7/1948,75,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,FALSE,Increased
2024,4,19,77.4,"$77,400,000,000 ",Walton,Rob,Rob Walton & family,10/27/1944,79,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],Walmart,Director,FALSE,Increased
2024,4,20,77,"$77,000,000,000 ",Huang,Jensen,Jensen Huang,2/17/1963,61,Male,United States,United States,Los Altos,Technology,['Technology'],NVIDIA,CEO & President,TRUE,Increased
2024,4,21,72.3,"$72,300,000,000 ",Walton,Alice,Alice Walton,10/7/1949,74,Female,United States,United States,Fort Worth,Fashion & Retail,['Fashion & Retail'],Crystal Bridges Museum of American Art,Philanthropist,FALSE,Increased
2024,4,22,67.8,"$67,800,000,000 ",Thomson,David,David Thomson & family,6/12/1957,66,Male,Canada,Canada,Toronto,Media & Entertainment,['Media & Entertainment'],Thomson Reuters Corporation,Chairman,FALSE,Increased
2024,4,23,64.3,"$64,300,000,000 ",Koch,Julia,Julia Koch & family,4/12/1962,61,Female,United States,United States,New York,Diversified,['Diversified'],,,FALSE,Increased
2024,4,24,62.3,"$62,300,000,000 ",Zhong,Shanshan,Zhong Shanshan,12/1/1954,69,Male,China,China,Hangzhou,Food & Beverage,['Food & Beverage'],,,TRUE,Decreased
2024,4,25,58.5,"$58,500,000,000 ",Koch,Charles,Charles Koch & family,11/1/1935,88,Male,United States,United States,Wichita,Diversified,['Diversified'],"Koch Industries, Inc.",Chairman and CEO,FALSE,Decreased
2024,4,26,43.8,"$43,800,000,000 ",Ferrero,Giovanni,Giovanni Ferrero,9/21/1964,59,Male,Italy,Belgium,Brussels,Food & Beverage,['Food & Beverage'],,,FALSE,Increased
2024,4,27,43.4,"$43,400,000,000 ",Pangestu,Prajogo,Prajogo Pangestu,5/13/1944,79,Male,Indonesia,Indonesia,Jakarta,Diversified,['Diversified'],,,FALSE,Increased
2024,4,27,43.4,"$43,400,000,000 ",Zhang,Yiming,Zhang Yiming,1/1/1984,40,Male,China,Singapore,Singapore,Technology,['Technology'],ByteDance,Founder,TRUE,Decreased
2024,4,29,42.8,"$42,800,000,000 ",Yanai,Tadashi,Tadashi Yanai & family,2/7/1949,75,Male,Japan,Japan,Tokyo,Fashion & Retail,['Fashion & Retail'],,,TRUE,Increased
2024,4,30,40.9,"$40,900,000,000 ",Knight,Phil,Phil Knight & family,2/24/1938,86,Male,United States,United States,Hillsboro,Fashion & Retail,['Fashion & Retail'],Nike,Chairman,TRUE,Decreased
2024,4,31,39.6,"$39,600,000,000 ",Mateschitz,Mark,Mark Mateschitz,5/7/1992,31,Male,Austria,Austria,Salzburg,Food & Beverage,['Food & Beverage'],,,FALSE,Increased
2024,4,32,39.2,"$39,200,000,000 ",Kuehne,Klaus-Michael,Klaus-Michael Kuehne,6/2/1937,86,Male,Germany,Switzerland,Schindellegi,Logistics,['Logistics'],,,FALSE,Increased
2024,4,33,38.9,"$38,900,000,000 ",Huang,Colin,Colin Huang,2/2/1980,44,Male,China,China,Shanghai,Technology,['Technology'],,,TRUE,Increased
2024,4,34,38.8,"$38,800,000,000 ",Schwarzman,Stephen,Stephen Schwarzman,2/14/1947,77,Male,United States,United States,New York,Finance & Investments,['Finance & Investments'],Blackstone,Chairman and CEO,TRUE,Increased
2024,4,35,38.5,"$38,500,000,000 ",Mars,Jacqueline,Jacqueline Mars,10/10/1939,84,Female,United States,United States,The Plains,Food & Beverage,['Food & Beverage'],,,FALSE,Increased
2024,4,35,38.5,"$38,500,000,000 ",Mars,John,John Mars,10/15/1935,88,Male,United States,United States,Jackson,Food & Beverage,['Food & Beverage'],,,FALSE,Increased
2024,4,37,38,"$38,000,000,000 ",Schwarz,Dieter,Dieter Schwarz,9/24/1939,84,Male,Germany,Germany,Neckarsulm,Fashion & Retail,['Fashion & Retail'],,,FALSE,Decreased
2024,4,38,37.3,"$37,300,000,000 ",Li,Ka-shing,Li Ka-shing,6/13/1928,95,Male,Hong Kong,Hong Kong,Hong Kong,Diversified,['Diversified'],CK Hutchison Holdings,Senior Advisor,TRUE,Decreased
2024,4,39,36.9,"$36,900,000,000 ",Nadar,Shiv,Shiv Nadar,7/18/1945,78,Male,India,India,Delhi,Technology,['Technology'],,,TRUE,Increased
2024,4,40,36.8,"$36,800,000,000 ",Wertheimer,Alain,Alain Wertheimer,8/28/1948,75,Male,France,United States,New York,Fashion & Retail,['Fashion & Retail'],,,FALSE,Increased
2024,4,40,36.8,"$36,800,000,000 ",Wertheimer,Gerard,Gerard Wertheimer,1/9/1951,73,Male,France,United States,New York,Fashion & Retail,['Fashion & Retail'],,,FALSE,Increased
2024,4,42,36.4,"$36,400,000,000 ",Griffin,Ken,Ken Griffin,10/15/1968,55,Male,United States,United States,Miami,Finance & Investments,['Finance & Investments'],Citadel LLC,Founder & CEO,TRUE,Increased
2024,4,43,35.6,"$35,600,000,000 ",Scott,MacKenzie,MacKenzie Scott,4/7/1970,53,Female,United States,United States,Seattle,Technology,['Technology'],,Philanthropist,FALSE,Increased
2024,4,44,34,"$34,000,000,000 ",Peterffy,Thomas,Thomas Peterffy,9/30/1944,79,Male,United States,United States,Palm Beach,Finance & Investments,['Finance & Investments'],,,TRUE,Increased
2024,4,45,33.6,"$33,600,000,000 ",Wuerth,Reinhold,Reinhold Wuerth & family,4/20/1935,88,Male,Germany,Germany,Kuenzelsau,Manufacturing,['Manufacturing'],,,TRUE,Increased
2024,4,46,33.5,"$33,500,000,000 ",Jindal,Savitri,Savitri Jindal & family,3/20/1950,74,Female,India,India,Hisar,Metals & Mining,['Metals & Mining'],,,FALSE,Increased
2024,4,46,33.5,"$33,500,000,000 ",Ding,William,William Ding,10/1/1971,52,Male,China,China,Hangzhou,Technology,['Technology'],,,TRUE,Increased
2024,4,48,33.1,"$33,100,000,000 ",Aponte,Gianluigi,Gianluigi Aponte,6/27/1940,83,Male,Switzerland,Switzerland,Geneva,Logistics,['Logistics'],,,TRUE,Increased
2024,4,48,33.1,"$33,100,000,000 ",Aponte-Diamant,Rafaela,Rafaela Aponte-Diamant,3/26/1945,79,Female,Switzerland,Switzerland,Geneva,Logistics,['Logistics'],,,TRUE,Increased
2024,4,50,33,"$33,000,000,000 ",Zhao,Changpeng,Changpeng Zhao,2/5/1977,47,Male,Canada,United Arab Emirates,Dubai,Finance & Investments,['Finance & Investments'],,,TRUE,Increased
2024,4,51,32.7,"$32,700,000,000 ",Son,Masayoshi,Masayoshi Son,8/11/1957,66,Male,Japan,Japan,Tokyo,Finance & Investments,['Finance & Investments'],Softbank,CEO,TRUE,Increased
2024,4,52,32.1,"$32,100,000,000 ",Blavatnik,Len,Len Blavatnik,6/1/1957,66,Male,United States,United Kingdom,London,Diversified,['Diversified'],,,TRUE,Remained Even
2024,4,53,32,"$32,000,000,000 ",Adelson,Miriam,Miriam Adelson & family,10/10/1945,78,Female,United States,United States,Las Vegas,Gambling & Casinos,['Gambling & Casinos'],,,FALSE,Decreased
2024,4,54,31.6,"$31,600,000,000 ",Pinault,François,François Pinault & family,8/21/1936,87,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,TRUE,Decreased
2024,4,55,31.4,"$31,400,000,000 ",Simons,Jim,Jim Simons,4/25/1938,85,Male,United States,United States,East Setauket,Finance & Investments,['Finance & Investments'],Renaissance Technologies Corp.,Founder,TRUE,Increased
2024,4,56,30.8,"$30,800,000,000 ",Rinehart,Gina,Gina Rinehart,2/9/1954,70,Female,Australia,Australia,Perth,Metals & Mining,['Metals & Mining'],Hancock Prospecting,Executive Chairman,FALSE,Increased
2024,4,57,30.2,"$30,200,000,000 ",Ma,Huateng,Ma Huateng,10/29/1971,52,Male,China,China,Shenzhen,Technology,['Technology'],Tencent Holdings,Chairman and CEO,TRUE,Decreased
2024,4,58,29,"$29,000,000,000 ",Johnson,Abigail,Abigail Johnson,12/19/1961,62,Female,United States,United States,Milton,Finance & Investments,['Finance & Investments'],Fidelity Investments,Chairman & CEO,FALSE,Increased
2024,4,59,28.6,"$28,600,000,000 ",Alekperov,Vagit,Vagit Alekperov,9/1/1950,73,Male,Russia,Russia,Moscow,Energy,['Energy'],,,TRUE,Increased
2024,4,60,28,"$28,000,000,000 ",Walton,Lukas,Lukas Walton,9/19/1986,37,Male,United States,United States,Chicago,Fashion & Retail,['Fashion & Retail'],,,FALSE,Increased
2024,4,60,28,"$28,000,000,000 ",Saverin,Eduardo,Eduardo Saverin,3/19/1982,42,Male,Brazil,Singapore,Singapore,Technology,['Technology'],Meta Platforms,Investor,TRUE,Increased
2024,4,62,27.9,"$27,900,000,000 ",Larrea Mota Velasco,Germán,Germán Larrea Mota Velasco & family,10/26/1953,70,Male,Mexico,Mexico,Mexico City,Metals & Mining,['Metals & Mining'],,,FALSE,Increased
2024,4,63,27.7,"$27,700,000,000 ",Lee,Shau Kee,Lee Shau Kee,1/29/1928,96,Male,Hong Kong,Hong Kong,Hong Kong,Real Estate,['Real Estate'],,,TRUE,Decreased
2024,4,64,27.6,"$27,600,000,000 ",Yass,Jeff,Jeff Yass,7/17/1958,65,Male,United States,United States,Haverford,Finance & Investments,['Finance & Investments'],,,TRUE,Decreased
2024,4,65,27.5,"$27,500,000,000 ",Pignataro,Andrea,Andrea Pignataro,6/10/1970,53,Male,Italy,Switzerland,St. Moritz,Finance & Investments,['Finance & Investments'],,,TRUE,
2024,4,66,27.4,"$27,400,000,000 ",Mikhelson,Leonid,Leonid Mikhelson & family,8/11/1955,68,Male,Russia,Russia,Moscow,Energy,['Energy'],,,TRUE,Increased
2024,4,66,27.4,"$27,400,000,000 ",Low Tuck,Kwong,Low Tuck Kwong,4/17/1948,75,Male,Indonesia,Indonesia,Jakarta,Energy,['Energy'],,,TRUE,Increased
2024,4,68,27.3,"$27,300,000,000 ",Quandt,Stefan,Stefan Quandt,5/9/1966,57,Male,Germany,Germany,Frankfurt,Automotive,['Automotive'],,,FALSE,Increased
2024,4,69,26.7,"$26,700,000,000 ",Shanghvi,Dilip,Dilip Shanghvi,10/1/1955,68,Male,India,India,Mumbai,Healthcare,['Healthcare'],,,TRUE,Increased
2024,4,70,26.6,"$26,600,000,000 ",Lisin,Vladimir,Vladimir Lisin,5/7/1956,67,Male,Russia,Russia,Moscow,Metals & Mining,['Metals & Mining'],,,TRUE,Increased
2024,4,71,26.5,"$26,500,000,000 ",Hartono,R. Budi,R. Budi Hartono,1/1/1941,83,Male,Indonesia,Indonesia,Kudus,Finance & Investments,['Finance & Investments'],,,FALSE,Increased
2024,4,71,26.5,"$26,500,000,000 ",Klatten,Susanne,Susanne Klatten,4/28/1962,61,Female,Germany,Germany,Bad Homburg,Automotive,['Automotive'],,,FALSE,Decreased
2024,4,73,26.2,"$26,200,000,000 ",Frist,Thomas,"Thomas Frist, Jr. & family",8/12/1938,85,Male,United States,United States,Nashville,Healthcare,['Healthcare'],,,TRUE,Increased
2024,4,73,26.2,"$26,200,000,000 ",Gilbert,Daniel,Daniel Gilbert,1/17/1962,62,Male,United States,United States,Franklin,Finance & Investments,['Finance & Investments'],,,TRUE,Increased
2024,4,75,25.7,"$25,700,000,000 ",Fontbona,Iris,Iris Fontbona & family,1/1/1943,81,Female,Chile,Chile,Santiago,Metals & Mining,['Metals & Mining'],,,FALSE,Increased
2024,4,76,25.5,"$25,500,000,000 ",Mordashov,Alexey,Alexey Mordashov & family,9/26/1965,58,Male,Russia,Russia,Moscow,Metals & Mining,['Metals & Mining'],,,TRUE,Increased
2024,4,76,25.5,"$25,500,000,000 ",Hartono,Michael,Michael Hartono,10/2/1939,84,Male,Indonesia,Indonesia,Kudus,Manufacturing,['Manufacturing'],,,FALSE,Increased
2024,4,76,25.5,"$25,500,000,000 ",Besnier,Emmanuel,Emmanuel Besnier,9/18/1970,53,Male,France,France,Laval,Food & Beverage,['Food & Beverage'],,,FALSE,Increased
2024,4,79,25.2,"$25,200,000,000 ",Menard,John,"John Menard, Jr.",1/22/1940,84,Male,United States,United States,Eau Claire,Fashion & Retail,['Fashion & Retail'],"Menard, Inc.",Founder,TRUE,Increased
2024,4,80,25.1,"$25,100,000,000 ",He,Xiangjian,He Xiangjian & family,8/11/1942,81,Male,China,China,Foshan,Manufacturing,['Manufacturing'],,,TRUE,Increased
2024,4,81,24.5,"$24,500,000,000 ",Marshall,Elaine,Elaine Marshall & family,7/22/1942,81,Female,United States,United States,Dallas,Diversified,['Diversified'],,Investor,FALSE,Returned to List
2024,4,81,24.5,"$24,500,000,000 ",Ma,Jack,Jack Ma,9/10/1964,59,Male,China,China,Hangzhou,Technology,['Technology'],,,TRUE,Increased
2024,4,83,24.3,"$24,300,000,000 ",Stephens,Autry,Autry Stephens,3/8/1938,86,Male,United States,United States,Midland,Energy,['Energy'],,,TRUE,Increased
2024,4,84,24,"$24,000,000,000 ",Ofer,Eyal,Eyal Ofer,6/2/1950,73,Male,Israel,Monaco,Monte Carlo,Diversified,['Diversified'],,,FALSE,Increased
2024,4,85,23.7,"$23,700,000,000 ",Potanin,Vladimir,Vladimir Potanin,1/3/1961,63,Male,Russia,Russia,Moscow,Metals & Mining,['Metals & Mining'],,,TRUE,Remained Even
2024,4,86,23.4,"$23,400,000,000 ",Timchenko,Gennady,Gennady Timchenko,11/9/1952,71,Male,Russia,Russia,Moscow,Energy,['Energy'],,,TRUE,Increased
2024,4,87,23.1,"$23,100,000,000 ",Takizaki,Takemitsu,Takemitsu Takizaki,6/10/1945,78,Male,Japan,Japan,Osaka,Manufacturing,['Manufacturing'],,,TRUE,Increased
2024,4,88,23,"$23,000,000,000 ",Adani,Vinod,Vinod Adani,1/10/1949,75,Male,Cyprus,United Arab Emirates,Dubai,Diversified,['Diversified'],,,TRUE,Increased
2024,4,89,22.9,"$22,900,000,000 ",Zeng,Robin,Robin Zeng,1/1/1969,55,Male,Hong Kong,China,Ningde,Automotive,['Automotive'],,,TRUE,Decreased
2024,4,90,21.3,"$21,300,000,000 ",Poonawalla,Cyrus,Cyrus Poonawalla,5/11/1941,82,Male,India,India,Pune,Healthcare,['Healthcare'],,,FALSE,Decreased
2024,4,91,21.1,"$21,100,000,000 ",Melnichenko,Andrey,Andrey Melnichenko & family,3/8/1972,52,Male,Russia,United Arab Emirates,Ras Al Khaimah,Metals & Mining,['Metals & Mining'],,,TRUE,Decreased
2024,4,92,20.9,"$20,900,000,000 ",Hendricks,Diane,Diane Hendricks,3/2/1947,77,Female,United States,United States,Afton,Construction & Engineering,['Construction & Engineering'],ABC Supply,Cofounder,TRUE,Increased
2024,4,92,20.9,"$20,900,000,000 ",Singh,Kushal Pal,Kushal Pal Singh,8/15/1931,92,Male,India,United Kingdom,London,Real Estate,['Real Estate'],,,FALSE,Increased
2024,4,94,20.6,"$20,600,000,000 ",Schmidt,Eric,Eric Schmidt,4/27/1955,68,Male,United States,United States,Atherton,Technology,['Technology'],,,TRUE,Increased
2024,4,94,20.6,"$20,600,000,000 ",Tepper,David,David Tepper,9/11/1957,66,Male,United States,United States,Palm Beach,Finance & Investments,['Finance & Investments'],Appaloosa Management,President and Founder,TRUE,Increased
2024,4,94,20.6,"$20,600,000,000 ",Safra,Vicky,Vicky Safra & family,1/1/1953,71,Female,Brazil,Switzerland,Crans-Montana,Finance & Investments,['Finance & Investments'],,,FALSE,Increased
2024,4,97,19.8,"$19,800,000,000 ",Cohen,Steve,Steve Cohen,6/11/1956,67,Male,United States,United States,Greenwich,Finance & Investments,['Finance & Investments'],Point72 Asset Management,Founder,TRUE,Increased
2024,4,98,19.7,"$19,700,000,000 ",Birla,Kumar,Kumar Birla,6/14/1967,56,Male,India,India,Mumbai,Diversified,['Diversified'],,,FALSE,Increased
2024,4,99,19.6,"$19,600,000,000 ",Cohen,Rick,Rick Cohen & family,7/25/1952,71,Male,United States,United States,Keene,Technology,['Technology'],,Entrepreneur,FALSE,Increased
2024,4,100,19.5,"$19,500,000,000 ",Murdoch,Rupert,Rupert Murdoch & family,3/11/1931,93,Male,United States,United States,New York,Media & Entertainment,['Media & Entertainment'],News Corp,Chairman and CEO,FALSE,Increased
2024,4,101,19,"$19,000,000,000 ",Forrest,Andrew ,Andrew Forrest & family,11/18/1961,62,Male,Australia,Australia,Perth,Metals & Mining,['Metals & Mining'],,,TRUE,Decreased
2024,4,102,18.5,"$18,500,000,000 ",Hamm,Harold,Harold Hamm & family,12/11/1945,78,Male,United States,United States,Oklahoma City,Energy,['Energy'],Continental Resources Inc. ,Chairman and CEO,TRUE,Remained Even
2024,4,103,18.3,"$18,300,000,000 ",Moskovitz,Dustin,Dustin Moskovitz,5/22/1984,39,Male,United States,United States,San Francisco,Technology,['Technology'],Asana,Cofounder,TRUE,Increased
2024,4,104,18,"$18,000,000,000 ",Bren,Donald,Donald Bren,5/11/1932,91,Male,United States,United States,Newport Beach,Real Estate,['Real Estate'],Irvine Company,Chairman,TRUE,Increased
2024,4,104,18,"$18,000,000,000 ",Platt,Michael,Michael Platt,3/18/1968,56,Male,United Kingdom,Switzerland,Geneva,Finance & Investments,['Finance & Investments'],BlueCrest Capital Management,Founder ,TRUE,Increased
2024,4,104,18,"$18,000,000,000 ",Kellnerova,Renata,Renata Kellnerova & family,7/4/1967,56,Female,Czech Republic,Czech Republic,Prague,Finance & Investments,['Finance & Investments'],,,FALSE,Increased
2024,4,107,17.6,"$17,600,000,000 ",Damani,Radhakishan,Radhakishan Damani,1/1/1955,69,Male,India,India,Mumbai,Fashion & Retail,['Fashion & Retail'],,,TRUE,Increased
2024,4,108,16.9,"$16,900,000,000 ",Fredriksen,John,John Fredriksen,2/1/1945,79,Male,Cyprus,United Kingdom,London,Logistics,['Logistics'],,Investor,TRUE,Increased
2024,4,109,16.8,"$16,800,000,000 ",Li,Eric,Eric Li,6/1/1963,60,Male,China,China,Hangzhou,Automotive,['Automotive'],,,TRUE,Decreased
2024,4,110,16.6,"$16,600,000,000 ",Persson,Stefan,Stefan Persson,10/4/1947,76,Male,Sweden,Sweden,Stockholm,Fashion & Retail,['Fashion & Retail'],Hennes & Mauritz Unsponsored ADR,Chairman,FALSE,Increased
2024,4,111,16.5,"$16,500,000,000 ",Ratcliffe,James,James Ratcliffe,1/1/1953,71,Male,United Kingdom,United Kingdom,London,Manufacturing,['Manufacturing'],,,TRUE,Decreased
2024,4,111,16.5,"$16,500,000,000 ",Triguboff,Harry,Harry Triguboff,3/3/1933,91,Male,Australia,Australia,Sydney,Real Estate,['Real Estate'],,,TRUE,Increased
2024,4,113,16.4,"$16,400,000,000 ",Mittal,Lakshmi,Lakshmi Mittal,6/15/1950,73,Male,India,United Kingdom,London,Metals & Mining,['Metals & Mining'],,,FALSE,Decreased
2024,4,113,16.4,"$16,400,000,000 ",Lemann,Jorge Paulo,Jorge Paulo Lemann & family,8/26/1939,84,Male,Brazil,Switzerland,Zurich,Food & Beverage,['Food & Beverage'],,"Investor, Philanthropist",TRUE,Increased
2024,4,115,16.2,"$16,200,000,000 ",Kroenke,Stanley,Stanley Kroenke,7/29/1947,76,Male,United States,United States,Electra,Sports,['Sports'],,,TRUE,Increased
2024,4,115,16.2,"$16,200,000,000 ",Jaipuria,Ravi,Ravi Jaipuria,11/28/1954,69,Male,India,India,Delhi,Food & Beverage,['Food & Beverage'],,,FALSE,Increased
2024,4,117,16.1,"$16,100,000,000 ",Koum,Jan,Jan Koum,2/24/1976,48,Male,United States,United States,Atherton,Technology,['Technology'],WhatsApp Inc.,"CEO, cofounder",TRUE,Increased
2024,4,118,15.9,"$15,900,000,000 ",Albrecht Jr.,Karl,Karl Albrecht Jr. & family,1/1/1948,76,Male,Germany,Germany,,Fashion & Retail,['Fashion & Retail'],,,FALSE,Increased
2024,4,118,15.9,"$15,900,000,000 ",Heister,Beate,Beate Heister,1/1/1951,73,Female,Germany,,,Fashion & Retail,['Fashion & Retail'],,,FALSE,Increased
2024,4,120,15.8,"$15,800,000,000 ",Ofer,Idan,Idan Ofer,10/2/1955,68,Male,Israel,United Kingdom,London,Diversified,['Diversified'],,,FALSE,Increased
2024,4,121,15.6,"$15,600,000,000 ",Puech,Nicolas,Nicolas Puech,1/29/1943,81,Male,France,Switzerland,Martigny,Fashion & Retail,['Fashion & Retail'],,,FALSE,Increased
2024,4,122,15.5,"$15,500,000,000 ",Durov,Pavel,Pavel Durov,10/10/1984,39,Male,United Arab Emirates,United Arab Emirates,Dubai,Technology,['Technology'],,,TRUE,Increased
2024,4,122,15.5,"$15,500,000,000 ",Qin,Yinglin,Qin Yinglin,4/17/1965,58,Male,China,China,Nanyang,Food & Beverage,['Food & Beverage'],,,TRUE,Decreased
2024,4,124,15.4,"$15,400,000,000 ",Dalio,Ray,Ray Dalio,8/8/1949,74,Male,United States,United States,Greenwich,Finance & Investments,['Finance & Investments'],Bridgewater Associates,Founder & CIO Mentor,TRUE,Decreased
2024,4,125,15.3,"$15,300,000,000 ",Anschutz,Philip,Philip Anschutz,12/28/1939,84,Male,United States,United States,Denver,Finance & Investments,['Finance & Investments'],,,FALSE,Increased
2024,4,126,15.1,"$15,100,000,000 ",Lauder,Leonard,Leonard Lauder,3/19/1933,91,Male,United States,United States,New York,Fashion & Retail,['Fashion & Retail'],The Estée Lauder Companies,Chairman Emeritus,FALSE,Decreased
2024,4,126,15.1,"$15,100,000,000 ",Li,Xiting,Li Xiting,1/1/1951,73,Male,Singapore,China,Shenzhen,Healthcare,['Healthcare'],,,TRUE,Decreased
2024,4,126,15.1,"$15,100,000,000 ",Woo,Peter,Peter Woo,9/5/1946,77,Male,Hong Kong,Hong Kong,Hong Kong,Real Estate,['Real Estate'],,,FALSE,Decreased
2024,4,129,14.8,"$14,800,000,000 ",von Bechtolsheim,Andreas,Andreas von Bechtolsheim & family,9/30/1955,68,Male,Germany,United States,Palo Alto,Technology,['Technology'],Arista Networks,"Cofounder, Chief Development Officer and Chairman",TRUE,Increased
2024,4,130,14.6,"$14,600,000,000 ",Kaiser,George,George Kaiser,7/29/1942,81,Male,United States,United States,Tulsa,Energy,['Energy'],BOK Financial,Chairman,FALSE,Increased
2024,4,131,14.2,"$14,200,000,000 ",Wang,Chuanfu,Wang Chuanfu,2/15/1966,58,Male,China,China,Shenzhen,Automotive,['Automotive'],,,TRUE,Decreased
2024,4,132,14.1,"$14,100,000,000 ",Duffield,David,David Duffield,9/21/1940,83,Male,United States,United States,Incline Village,Technology,['Technology'],Workday,Chairman and Cofounder,TRUE,Increased
2024,4,132,14.1,"$14,100,000,000 ",Samueli,Henry,Henry Samueli,9/20/1954,69,Male,United States,United States,Newport Beach,Technology,['Technology'],Broadcom,"Cofounder, Chief Technology Officer and Chairman",TRUE,Increased
2024,4,132,14.1,"$14,100,000,000 ",de Carvalho-Heineken,Charlene,Charlene de Carvalho-Heineken & family,6/30/1954,69,Female,Netherlands,United Kingdom,London,Food & Beverage,['Food & Beverage'],,,FALSE,Decreased
2024,4,135,14,"$14,000,000,000 ",Black,Leon,Leon Black,7/31/1951,72,Male,United States,United States,New York,Finance & Investments,['Finance & Investments'],,,TRUE,Increased
2024,4,135,14,"$14,000,000,000 ",Albrecht,Theo,"Theo Albrecht, Jr. & family",1/1/1951,73,Male,Germany,Germany,Mulheim an der Ruhr,Fashion & Retail,['Fashion & Retail'],,,FALSE,Decreased
2024,4,137,13.8,"$13,800,000,000 ",Jones,Jerry,Jerry Jones,10/13/1942,81,Male,United States,United States,Dallas,Sports,['Sports'],Dallas Cowboys,President and General Manager,TRUE,Increased
2024,4,137,13.8,"$13,800,000,000 ",Wang,Wei,Wang Wei,10/1/1970,53,Male,China,China,Shenzhen,Service,['Service'],,,TRUE,Decreased
2024,4,139,13.7,"$13,700,000,000 ",Green,David,David Green & family,11/13/1941,82,Male,United States,United States,Oklahoma City,Fashion & Retail,['Fashion & Retail'],Hobby Lobby,CEO,TRUE,Decreased
